Operation,Pandas Time (s),Polars Time (s),Time Difference,Pandas Memory (MB),Polars Memory (MB),Memory Difference
Basic Filtering,0.0004889965057373047,0.018757104873657227,0.0260699350476021,0.1875,2.8125,0.06666666666666667
GroupBy,0.0026941299438476562,0.005292654037475586,0.5090319383756025,0.28125,1.03125,0.2727272727272727
Sorting,0.00066375732421875,0.0015728473663330078,0.4220100045475216,0.21875,0.40625,0.5384615384615384
Column Calculation,0.00042510032653808594,0.0016660690307617188,0.2551516886090441,0.0,0.21875,0.0
Join Operation,0.03431510925292969,0.010762929916381836,3.188268391555723,31.8125,24.34375,1.306803594351733
String Operations,0.10814619064331055,0.031334877014160156,3.4513041361049397,42.640625,23.265625,1.8327736736064473
Window Functions,0.05396723747253418,0.019704103469848633,2.7388831750257125,29.9375,15.78125,1.897029702970297
Lazy Evaluation,0.05396723747253418,0.01654505729675293,3.2618344261113914,29.9375,11.359375,2.6354883081155434
Complex Aggregation,0.05653500556945801,0.004991769790649414,11.325643597459043,2.234375,1.25,1.7875
